course-full,course-code,course-title,course-href,level
LL105 Property I,LL105,Property I,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL105.htm,Undergraduate
SA349 A Long Essay on an Approved Topic,SA349,A Long Essay on an Approved Topic,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA349.htm,Undergraduate
ST102 Elementary Statistical Theory,ST102,Elementary Statistical Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST102.htm,Undergraduate
LN230 French Language and Society 4 (proficiency),LN230,French Language and Society 4 (proficiency),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN230.htm,Undergraduate
LL242 International Protection of Human Rights,LL242,International Protection of Human Rights,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL242.htm,Undergraduate
"EH211 Africa and the World Economy, 1500-2000",EH211,"Africa and the World Economy, 1500-2000",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH211.htm,Undergraduate
AN246 The Anthropology of Post-Soviet Eurasia,AN246,The Anthropology of Post-Soviet Eurasia,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN246.htm,Undergraduate
"EH205 Towns, Society and Economy in England and Europe 1450-1750",EH205,"Towns, Society and Economy in England and Europe 1450-1750",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH205.htm,Undergraduate
LN120 Spanish Language and Society 3 (advanced),LN120,Spanish Language and Society 3 (advanced),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN120.htm,Undergraduate
EC220 Introduction to Econometrics,EC220,Introduction to Econometrics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC220.htm,Undergraduate
ST203 Statistics for Management Sciences,ST203,Statistics for Management Sciences,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST203.htm,Undergraduate
GY103 Contemporary Europe,GY103,Contemporary Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY103.htm,Undergraduate
MG100 Leadership and Communication in Teams,MG100,Leadership and Communication in Teams,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG100.htm,Undergraduate
LL250 Law and The Environment,LL250,Law and The Environment,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL250.htm,Undergraduate
ST307 Aspects of Market Research,ST307,Aspects of Market Research,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST307.htm,Undergraduate
EH225 Latin America and the International Economy,EH225,Latin America and the International Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH225.htm,Undergraduate
EC315 International Economics,EC315,International Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC315.htm,Undergraduate
MA100 Mathematical Methods,MA100,Mathematical Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA100.htm,Undergraduate
AN238 Anthropology and Human Rights,AN238,Anthropology and Human Rights,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN238.htm,Undergraduate
LL210 Information Technology and the Law,LL210,Information Technology and the Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL210.htm,Undergraduate
ST211 Applied Regression,ST211,Applied Regression,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST211.htm,Undergraduate
AC100 Elements of Accounting and Finance,AC100,Elements of Accounting and Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC100.htm,Undergraduate
SO100 Key Concepts in Sociology: An Introduction to Sociological Theory,SO100,Key Concepts in Sociology: An Introduction to Sociological Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO100.htm,Undergraduate
EC302 Political Economy,EC302,Political Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC302.htm,Undergraduate
LL104 Law of Obligations,LL104,Law of Obligations,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL104.htm,Undergraduate
GV101 Introduction to Political Science,GV101,Introduction to Political Science,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV101.htm,Undergraduate
SA309 Crime Control: Ideas and Controversies,SA309,Crime Control: Ideas and Controversies,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA309.htm,Undergraduate
AN251 Cognition and Anthropology: Learning and Thinking in Relation to Social Institutions,AN251,Cognition and Anthropology: Learning and Thinking in Relation to Social Institutions,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN251.htm,Undergraduate
