course-full,courde-code,course-title,course-href,level,
MA414 Stochastic Analysis,MA414,Stochastic Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA414.htm,Postgraduate ,
IR461 Islam in International Relations: From Al-Andalus to Afghanistan,IR461,Islam in International Relations: From Al-Andalus to Afghanistan,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR461.htm,Postgraduate ,
GY450 Planning Practice and Research,GY450,Planning Practice and Research,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY450.htm,Postgraduate ,
"SA4F9 Housing, Neighbourhoods and Communities",SA4F9,"Housing, Neighbourhoods and Communities",http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4F9.htm,Postgraduate ,
GY415 Local Capacity and Economic Development Policy,GY415,Local Capacity and Economic Development Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY415.htm,Postgraduate ,
GY426 Environmental and Resource Economics,GY426,Environmental and Resource Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY426.htm,Postgraduate ,
PS438 Corporate Communications,PS438,Corporate Communications,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS438.htm,Postgraduate ,
SA409 Social Security Policies,SA409,Social Security Policies,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA409.htm,Postgraduate ,
LL4L5 Socio-legal Theory and Practice,LL4L5,Socio-legal Theory and Practice,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4L5.htm,Postgraduate ,
MC4M1 Methods of Research in Media & Communications (including Qualitative & Quantitative Analysis),MC4M1,Methods of Research in Media & Communications (including Qualitative & Quantitative Analysis),http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC4M1.htm,Postgraduate ,
EC454 Development Economics,EC454,Development Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC454.htm,Postgraduate ,
OR406 Mathematical Programming: Theory and Algorithms,OR406,Mathematical Programming: Theory and Algorithms,http://www.lse.ac.uk/resources/calendar/courseGuides/OR/2014_OR406.htm,Postgraduate ,
EU457 Ethnic Diversity and International Society,EU457,Ethnic Diversity and International Society,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU457.htm,Postgraduate ,
HY435 Political Islam: From Ibn Taymiyya to Osama bin Laden,HY435,Political Islam: From Ibn Taymiyya to Osama bin Laden,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY435.htm,Postgraduate ,
"DV400 Development: History, Theory and Policy",DV400,"Development: History, Theory and Policy",http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV400.htm,Postgraduate ,
SA4E6 Rural Development and Social Policy,SA4E6,Rural Development and Social Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4E6.htm,Postgraduate ,
LL4AY International Tax Systems,LL4AY,International Tax Systems,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AY.htm,Postgraduate ,
LL419E Law of Corporate Finance,LL419, Law of Corporate Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL419E.htm,Postgraduate ,
EU434 The Political Economy of Southeast Europe,EU434,The Political Economy of Southeast Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU434.htm,Postgraduate ,
HY400 Crisis Decision-Making in War and Peace 1914-2003,HY400,Crisis Decision-Making in War and Peace 1914-2003,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY400.htm,Postgraduate ,
AN424 The Anthropology of Melanesia,AN424,The Anthropology of Melanesia,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN424.htm,Postgraduate ,
FM438 Advanced Asset Pricing,FM438,Advanced Asset Pricing,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM438.htm,Postgraduate ,
EH466 Labour and Work in Preindustrial Europe,EH466,Labour and Work in Preindustrial Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH466.htm,Postgraduate ,
LL4BR Brands and Trade Marks: Contemporary Issues,LL4BR,Brands and Trade Marks: Contemporary Issues,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BR.htm,Postgraduate ,
MG438 Business Model Innovation at the Base of the Pyramid,MG438,Business Model Innovation at the Base of the Pyramid,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG438.htm,Postgraduate ,
FM4T0 Financial Risk Analysis - Dissertation,FM4T0,Financial Risk Analysis - Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM4T0.htm,Postgraduate ,
SA403 Criminal Justice Policy,SA403,Criminal Justice Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA403.htm,Postgraduate ,
FM4U2 Quantitative Methods for Finance and Risk Analysis (Dissertation),FM4U2,Quantitative Methods for Finance and Risk Analysis (Dissertation),http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM4U2.htm,Postgraduate ,
"MC405 Current issues in Media and Communications: Policies for ICTs, Society and Development",MC405,"Current issues in Media and Communications: Policies for ICTs, Society and Development",http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC405.htm,Postgraduate ,
EH499 Dissertation: MSc Economic History,EH499,Dissertation: MSc Economic History,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH499.htm,Postgraduate ,
MY4M1 Foundations of Social Research 1,MY4M1,Foundations of Social Research 1,http://www.lse.ac.uk/resources/calendar/courseGuides/MY/2014_MY4M1.htm,Postgraduate ,
SO424 Approaches to Human Rights,SO424,Approaches to Human Rights,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO424.htm,Postgraduate ,
"GV4A8 Nationalist Conflict, Political Violence and Terrorism",GV4A8,"Nationalist Conflict, Political Violence and Terrorism",http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4A8.htm,Postgraduate ,
EH472 Essay in Quantitative Economic History,EH472,Essay in Quantitative Economic History,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH472.htm,Postgraduate ,
MA417 Computational Methods in Finance,MA417,Computational Methods in Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA417.htm,Postgraduate ,
EH402 Research Design and Quantitative Methods in Economic History,EH402,Research Design and Quantitative Methods in Economic History,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH402.htm,Postgraduate ,
EC487 Advanced Microeconomics,EC487,Advanced Microeconomics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC487.htm,Postgraduate ,
"DV410 Research Design and Dissertation in Development Studies, Development Management and International Development and Humanitarian Emergencies",DV410,"Research Design and Dissertation in Development Studies, Development Management and International Development and Humanitarian Emergencies",http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV410.htm,Postgraduate ,
LL4AZ International Tax Systems: Advanced Problems,LL4AZ,International Tax Systems: Advanced Problems,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AZ.htm,Postgraduate ,
"LL4S4 Digital Rights, Privacy and Security",LL4S4,"Digital Rights, Privacy and Security",http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4S4.htm,Postgraduate ,
ST409 Stochastic Processes,ST409,Stochastic Processes,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST409.htm,Postgraduate ,
GV4H5 The Politics and Philosophy of Environmental Change,GV4H5,The Politics and Philosophy of Environmental Change,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4H5.htm,Postgraduate ,
SA4K8 Health Care Quality Management,SA4K8,Health Care Quality Management,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4K8.htm,Postgraduate ,
MA413 Games of Incomplete Information,MA413,Games of Incomplete Information,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA413.htm,Postgraduate ,
GI499 Dissertation,GI499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI499.htm,Postgraduate ,
LL4K5 International Commercial Contracts - General Principles,LL4K5,International Commercial Contracts - General Principles,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4K5.htm,Postgraduate ,
"LL442E Insolvency Law: Principles, Rescue and Reconstruction Processes",LL442," Insolvency Law: Principles, Rescue and Reconstruction Processes",http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL442E.htm,Postgraduate ,
LL4AM International Business Transactions: Advanced Procedure and Tactics,LL4AM,International Business Transactions: Advanced Procedure and Tactics,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AM.htm,Postgraduate ,
HY434 The Rise and Fall of Communism in Europe 1917-1990,HY434,The Rise and Fall of Communism in Europe 1917-1990,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY434.htm,Postgraduate ,
"EH429 History of Economics: Ideas, Policy and Performativity",EH429,"History of Economics: Ideas, Policy and Performativity",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH429.htm,Postgraduate ,
AN466 Understanding Religion in the Contemporary World,AN466,Understanding Religion in the Contemporary World,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN466.htm,Postgraduate ,
LL4BM The Legal Protection of Inventions,LL4BM,The Legal Protection of Inventions,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BM.htm,Postgraduate ,
GV4D4 The Politics of Inequality and Redistribution,GV4D4,The Politics of Inequality and Redistribution,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4D4.htm,Postgraduate ,
SA4K9 Advanced Health Economics,SA4K9,Advanced Health Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4K9.htm,Postgraduate ,
"SA4B8 Ethnicity, Race and Social Policy",SA4B8,"Ethnicity, Race and Social Policy",http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4B8.htm,Postgraduate ,
SA407 Financing Health Care,SA407,Financing Health Care,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA407.htm,Postgraduate ,
ID431 Organisational Change,ID431,Organisational Change,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID431.htm,Postgraduate ,
SA4M1 Politics of Social Policy: Welfare and Work in Comparative Perspective,SA4M1,Politics of Social Policy: Welfare and Work in Comparative Perspective,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4M1.htm,Postgraduate ,
LL4BQ Trade Mark Law,LL4BQ,Trade Mark Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BQ.htm,Postgraduate ,
SA4D4 Measuring Health System Performance,SA4D4,Measuring Health System Performance,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4D4.htm,Postgraduate ,
MC423 Global Media Industries,MC423,Global Media Industries,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC423.htm,Postgraduate ,
PS4A1 Methods for Social Psychology Research: Fundamental Qualitative and Fundamental Quantitative Methods,PS4A1,Methods for Social Psychology Research: Fundamental Qualitative and Fundamental Quantitative Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS4A1.htm,Postgraduate ,
EH498 Dissertation: MSc Economic History (Half Unit),EH498,Dissertation: MSc Economic History (Half Unit),http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH498.htm,Postgraduate ,
SA4V8 MPA Policy Paper,SA4V8,MPA Policy Paper,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4V8.htm,Postgraduate ,
ID411 International and Comparative Human Resource Management,ID411,International and Comparative Human Resource Management,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID411.htm,Postgraduate ,
EH452 Latin American Development and Economic History,EH452,Latin American Development and Economic History,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH452.htm,Postgraduate ,
IS471 Innovating Organisational Information Technology,IS471,Innovating Organisational Information Technology,http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS471.htm,Postgraduate ,
FM481 Financial Econometrics for Research Students,FM481,Financial Econometrics for Research Students,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM481.htm,Postgraduate ,
GV4F8 Institutions in the Global Economy,GV4F8,Institutions in the Global Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4F8.htm,Postgraduate ,
GY479 Urban Revolutions,GY479,Urban Revolutions,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY479.htm,Postgraduate ,
SO427 Modern Social Thought,SO427,Modern Social Thought,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO427.htm,Postgraduate ,
MC428 Media Culture and Neoliberalism in the Global South,MC428,Media Culture and Neoliberalism in the Global South,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC428.htm,Postgraduate ,
FM403 Management and Regulation of Risk,FM403,Management and Regulation of Risk,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM403.htm,Postgraduate ,
"AC425 MSc Accounting, Organisations and Institutions: Pre-sessional course",AC425,"MSc Accounting, Organisations and Institutions: Pre-sessional course",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC425.htm,Postgraduate ,
GY400 The Economics of Urbanization in Developing Countries,GY400,The Economics of Urbanization in Developing Countries,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY400.htm,Postgraduate ,
EU497E Dissertation,EU497, Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU497E.htm,Postgraduate ,
GV488 Law and Politics of Regulation,GV488,Law and Politics of Regulation,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV488.htm,Postgraduate ,
ID440 Corporate Social Responsibility and International Labour Standards,ID440,Corporate Social Responsibility and International Labour Standards,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID440.htm,Postgraduate ,
FM408 Financial Engineering,FM408,Financial Engineering,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM408.htm,Postgraduate ,
EU431 European Integration from a Global Perspective,EU431,European Integration from a Global Perspective,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU431.htm,Postgraduate ,
FM413 Fixed Income Markets,FM413,Fixed Income Markets,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM413.htm,Postgraduate ,
GY408 Local Economic Development and Policy,GY408,Local Economic Development and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY408.htm,Postgraduate ,
OR440 Applied Management Science,OR440,Applied Management Science,http://www.lse.ac.uk/resources/calendar/courseGuides/OR/2014_OR440.htm,Postgraduate ,
GY480 Remaking China: Geographical aspects of Development and Disparity,GY480,Remaking China: Geographical aspects of Development and Disparity,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY480.htm,Postgraduate ,
"GI411 Gender, Postcoloniality, Development: Critical Perspectives and New Directions",GI411,"Gender, Postcoloniality, Development: Critical Perspectives and New Directions",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI411.htm,Postgraduate ,
SA4M4E Policy Appraisal and Impact Assessment,SA4M4, Policy Appraisal and Impact Assessment,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4M4E.htm,Postgraduate ,
LL4AX Selected Topics in International Human Rights Law,LL4AX,Selected Topics in International Human Rights Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AX.htm,Postgraduate ,
IR410 International Politics,IR410,International Politics,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR410.htm,Postgraduate ,
LL4AL International Business Transactions: Commercial Litigation,LL4AL,International Business Transactions: Commercial Litigation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AL.htm,Postgraduate ,
"EH414 Theories, Paths and Patterns of Late Development",EH414,"Theories, Paths and Patterns of Late Development",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH414.htm,Postgraduate ,
IR419 International Relations of the Middle East,IR419,International Relations of the Middle East,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR419.htm,Postgraduate ,
ID441 Contemporary Issues in HR Management,ID441,Contemporary Issues in HR Management,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID441.htm,Postgraduate ,
MG457 Foundations of Management 2 (modular),MG457,Foundations of Management 2 (modular),http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG457.htm,Postgraduate ,
AN463 The Anthropology of Borders and Boundaries,AN463,The Anthropology of Borders and Boundaries,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN463.htm,Postgraduate ,
"SA4K1 Global Health Policy: Institutions, Actors and Politics",SA4K1,"Global Health Policy: Institutions, Actors and Politics",http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4K1.htm,Postgraduate ,
AN441 Anthropological Fieldwork Methods,AN441,Anthropological Fieldwork Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN441.htm,Postgraduate ,
"GI416 Gender and Transition Societies: Politics, Policies and Patterns",GI416,"Gender and Transition Societies: Politics, Policies and Patterns",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI416.htm,Postgraduate ,
LL4CF UK Corporate Law,LL4CF,UK Corporate Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CF.htm,Postgraduate ,
MY4M2 Foundations of Social Research 2,MY4M2,Foundations of Social Research 2,http://www.lse.ac.uk/resources/calendar/courseGuides/MY/2014_MY4M2.htm,Postgraduate ,
"SO473 Crime, Control and the City",SO473,"Crime, Control and the City",http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO473.htm,Postgraduate ,
GI419 Gender and Contemporary Social Movements,GI419,Gender and Contemporary Social Movements,http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI419.htm,Postgraduate ,
AN443 Research Proposal,AN443,Research Proposal,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN443.htm,Postgraduate ,
FM473 Finance I,FM473,Finance I,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM473.htm,Postgraduate ,
MC403 Contemporary Issues in Media and Communications Policy,MC403,Contemporary Issues in Media and Communications Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC403.htm,Postgraduate ,
FM441 Derivatives,FM441,Derivatives,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM441.htm,Postgraduate ,
EC423 Labour Economics,EC423,Labour Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC423.htm,Postgraduate ,
"GV454 Parties, Elections and Governments",GV454,"Parties, Elections and Governments",http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV454.htm,Postgraduate ,
DV431 Development Management,DV431,Development Management,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV431.htm,Postgraduate ,
PS445 Organisational and Social Decision Making,PS445,Organisational and Social Decision Making,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS445.htm,Postgraduate ,
"HY432 From Cold Warriors to Peacemakers: the End of the Cold War Era, 1979-1999",HY432,"From Cold Warriors to Peacemakers: the End of the Cold War Era, 1979-1999",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY432.htm,Postgraduate ,
MA402 Game Theory I,MA402,Game Theory I,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA402.htm,Postgraduate ,
DV423 Global Political Economy of Development,DV423,Global Political Economy of Development,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV423.htm,Postgraduate ,
IR439 Diplomacy,IR439,Diplomacy,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR439.htm,Postgraduate ,
AC499 Dissertation,AC499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC499.htm,Postgraduate ,
EH412 Research Topics in Economic History A,EH412,Research Topics in Economic History A,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH412.htm,Postgraduate ,
LL4CN New Technologies in Law and the Body,LL4CN,New Technologies in Law and the Body,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CN.htm,Postgraduate ,
